id;question;relv
0;Хочу тур по Санкт-Петербургу, включающий в себя экскурсии в Петергоф (Нижний парк) и Кронштадт;2, 3, 4, 5,  6, 7, 8, 23, 24, 25, 26, 27, 28, 125, 126, 201
1;Хочу тур в Псков, включающий в себя экскурсии по историческим местам города и родовому имению матери А. С. Пушкина в селе Михайловское;100, 101, 102, 103, 104, 105, 106, 107
2;тур по Карелии, включающий посещение водопада Кивач, Марциальных вод и обзорную экскурсию по городу Петрозаводск;9, 44, 58, 156, 201
3;тур по Владивостоку с обзорной экскурсией по городу, посещением острова Русский и Приморского сафари-парка. ;46, 118, 119, 182, 183, 184, 196, 212, 213, 214
4;7-дневный тур по Москве с экскурсиями по городу, например по ВДНХ,Старому арбату, Царицино или Красной площади;0, 1
5;ищу тур по Карелии, включающий в себя посещения центра шунгита;9, 156
6;тур по мурманской области, с возможностью посмотреть на китов;172, 173, 174, 176, 189
7;Интересует  тур на Камчатку, включающий посещение вулканов, термальных источников, а также морские прогулки ;198, 199, 200
8;Интересует тур по Сахалину, включающий посещение побережья Охотского моря, бухты с живописной природой, осмотр маяка, прогулку по янтарному побережью, возможно посещение Курильских островов;168, 169, 170, 171, 225, 224
9;тур по Сахалину и курильским островам, включающий посещение побережья Охотского моря и термальных источников острова Итуруп;171, 225, 224
10;ищу оздоровительный тур по Калининградской области, включающий в себя проживание в пансионате, прохождение различных обследований и процедур, консультация со специалистами;160, 161, 162
11;тур по Калининграду, включающий в себя экскурсии по самому городу и окрестностям, также хотелось бы посетить места производсва янтаря ;32, 33, 34, 35, 128, 129, 130, 131, 132, 180, 181, 211
12;тур по Великому Новгороду, включающий в себя экскурсии по памятникам местной архитектуры, таких как Кремль и Софийский собор, а также посещение музеев;108, 109, 110, 111, 112, 114, 115, 116, 117, 197
13;тур по новгородской области, включающи в себя экскурсия в дом-музей Ф. М. Достоевского;108, 109, 114
14;тур по Хакасии, включающий в себя экскурсии по природе республики, например по горным грядам или набережной Енисея, а также экскурсии по музеям;45, 47, 48, 59, 89, 90, 123, 147, 148, 149, 150, 151, 190
15;тур по природе республики Дагестан, включающий экскурсии по песчаному бархану Сарыкум, Сулакскому каньону и различным водопадам, также интересуют экскурсии по аулам, таким как Гуниб, Чох или Гамсутль;60, 61, 86, 127, 164, 177, 202, 210, 219, 220, 221, 222
16;Ищу тур на Байкал зимой. Хотелось бы увидеть главные достопримечательности: остров Ольхон (мыс Бурхан, мыс Хобой, Саган-Хушун), лед Байкала с его уникальными особенностями (сокуи, пузырьки во льду),;36, 41, 42, 43, 49, 50, 51, 56, 57, 67, 68, 69, 113, 120, 121, 122, 124, 137, 138, 139, 142, 175, 185, 191, 195, 223
17;тур по Чеченской республике, включающий экскурсию по городу Грозному, включая экскурсии по таким местам как: мечеть «Сердце Чечни», храм Архангела Михаила, проспект Эсамбаева и Аллею Славы;66, 72, 83, 86, 87, 135, 136, 145
18;ищу тур по Карачаево-Черкесия, включающий в себя горнолыжный курорт Домбай, а также экскурсии по Шоанинскому и Сентинскому храмам;62, 64, 65, 144, 163, 165, 179, 186, 187
19; тур по горным регионам в республике Ингушетия, включающий посещение Джейрахского ущелья, Цей-Лоамскому перевалу и  башенных комплексов Таргим и Вовнушки;65, 66, 72, 88, 133
20;тур по Йошкар-Оле, с посещением площадей например Патриаршей, Оболенского-Ноготкова, площади Республики и набережных Брюгге и Амстердам;16, 17, 18, 19, 20
